qid,hallucination_id,method,injection_type,injected_numeric,gate_1_detected,gate_2_detected,gate_3_detected,end_gate_detected,any_detected,actionable_detected,early_detected,pre_narrative_detected,injected_in_final
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H2,vanilla,dollar_amount,2208.0,False,False,False,False,False,False,False,False,False
FB_037_CB0A4D6D,FB_037_CB0A4D6D_H1,vanilla,dollar_amount,2500.0,False,False,False,False,False,False,False,False,False
FB_038_9BAA83E2,FB_038_9BAA83E2_H2,vanilla,dollar_amount,19432.0,False,False,False,False,False,False,False,False,True
FB_038_9BAA83E2,FB_038_9BAA83E2_H1,vanilla,percentage,51.7,False,False,False,False,False,False,False,False,False
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H3,vanilla,dollar_amount,1372.0,False,False,False,False,False,False,False,False,True
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H2,vanilla,percentage,0.01,False,False,False,False,False,False,False,False,True
FB_039_FDBB6DC2,FB_039_FDBB6DC2_H1,vanilla,dollar_amount,46807.0,False,False,False,False,False,False,False,False,True
FB_040_DBF8FC6A,FB_040_DBF8FC6A_H2,vanilla,dollar_amount,62827.0,False,False,False,False,False,False,False,False,True
FB_040_DBF8FC6A,FB_040_DBF8FC6A_H1,vanilla,percentage,29.6,False,False,False,False,False,False,False,False,False
FB_041_EB5B1B78,FB_041_EB5B1B78_H3,vanilla,dollar_amount,48564.0,False,False,False,False,False,False,False,False,True
FB_041_EB5B1B78,FB_041_EB5B1B78_H2,vanilla,dollar_amount,5847.0,False,False,False,False,False,False,False,False,False
FB_041_EB5B1B78,FB_041_EB5B1B78_H1,vanilla,dollar_amount,49343.0,False,False,False,False,False,False,False,False,True
FB_042_1741E456,FB_042_1741E456_H2,vanilla,dollar_amount,23630.0,False,False,False,False,False,False,False,False,True
FB_042_1741E456,FB_042_1741E456_H1,vanilla,dollar_amount,17915.0,False,False,False,False,False,False,False,False,False
FB_043_1BA81F6A,FB_043_1BA81F6A_H3,vanilla,percentage,24.1,False,False,False,False,False,False,False,False,False
FB_043_1BA81F6A,FB_043_1BA81F6A_H2,vanilla,dollar_amount,5968.0,False,False,False,False,False,False,False,False,False
FB_043_1BA81F6A,FB_043_1BA81F6A_H1,vanilla,percentage,31.3,False,False,False,False,False,False,False,False,False
FB_044_899DEDA7,FB_044_899DEDA7_H3,vanilla,dollar_amount,87723.0,False,False,False,False,False,False,False,False,True
FB_044_899DEDA7,FB_044_899DEDA7_H2,vanilla,dollar_amount,75098.0,False,False,False,False,False,False,False,False,True
FB_044_899DEDA7,FB_044_899DEDA7_H1,vanilla,dollar_amount,35269.0,False,False,False,False,False,False,False,False,True
FB_045_3960FE69,FB_045_3960FE69_H2,vanilla,percentage,0.0,False,False,False,False,False,False,False,False,False
FB_045_3960FE69,FB_045_3960FE69_H1,vanilla,percentage,0.1,False,False,False,False,False,False,False,False,False
FB_046_E323A993,FB_046_E323A993_H2,vanilla,dollar_amount,1420.0,False,False,False,False,False,False,False,False,True
FB_046_E323A993,FB_046_E323A993_H1,vanilla,dollar_amount,650.0,False,False,False,False,False,False,False,False,True
FB_047_A9C061FE,FB_047_A9C061FE_H3,vanilla,dollar_amount,966.0,False,False,False,False,False,False,False,False,False
FB_047_A9C061FE,FB_047_A9C061FE_H2,vanilla,dollar_amount,832.0,False,False,False,False,False,False,False,False,False
FB_047_A9C061FE,FB_047_A9C061FE_H1,vanilla,dollar_amount,208.0,False,False,False,False,False,False,False,False,True
FB_048_79F71CE3,FB_048_79F71CE3_H3,vanilla,dollar_amount,1823.0,False,False,False,False,False,False,False,False,True
FB_048_79F71CE3,FB_048_79F71CE3_H2,vanilla,dollar_amount,522.0,False,False,False,False,False,False,False,False,False
FB_048_79F71CE3,FB_048_79F71CE3_H1,vanilla,dollar_amount,721.0,False,False,False,False,False,False,False,False,False
FB_049_4416C718,FB_049_4416C718_H3,vanilla,dollar_amount,924.0,False,False,False,False,False,False,False,False,True
FB_049_4416C718,FB_049_4416C718_H2,vanilla,percentage,0.0,False,False,False,False,False,False,False,False,False
