qid,type,inj_num,orig_num,inj_survived,orig_restored,g1_det,g2_det,g3_det,any_gate,g1_false_positive,g2_false_positive,g3_false_positive,any_false_positive,suppressed_no_restore
FB_049_4416C718,percentage,0.0,2.9,False,True,False,False,False,False,False,False,False,False,False
FB_050_A0B82AEA,dollar_amount,2780.0,3719.0,False,False,True,True,False,True,False,False,False,False,True
FB_050_A0B82AEA,dollar_amount,4922.0,3579.0,False,True,True,True,False,True,False,False,False,False,False
FB_051_091D46D5,dollar_amount,29580.0,46294.0,False,True,True,False,False,True,False,False,False,False,False
FB_051_091D46D5,dollar_amount,55020.0,47262.0,False,True,True,False,False,True,False,False,False,False,False
FB_051_091D46D5,percentage,10.3,2.0,False,False,True,False,False,True,False,False,False,False,True
FB_052_FC76DF78,large_number,1157.0,1846.0,False,False,True,False,False,True,False,False,False,False,True
FB_052_FC76DF78,large_number,32254.0,47262.0,False,True,True,False,False,True,False,False,False,False,False
FB_052_FC76DF78,large_number,1229.0,1570.0,False,False,True,False,False,True,False,False,False,False,True
FB_053_05E755A5,dollar_amount,1210.0,1518.0,True,False,False,True,False,True,False,True,False,True,False
FB_053_05E755A5,large_number,1421.0,1188.0,True,True,False,False,False,False,False,False,False,False,False
FB_053_05E755A5,large_number,852.0,1045.0,False,True,False,False,False,False,False,False,False,False,False
FB_054_F1BBC565,dollar_amount,911.0,1200.0,False,True,True,True,False,True,False,False,False,False,False
FB_054_F1BBC565,dollar_amount,2191.0,3200.0,False,False,True,True,False,True,False,False,False,False,True
FB_054_F1BBC565,dollar_amount,789.0,1200.0,False,True,True,True,False,True,False,False,False,False,False
FB_055_B75D0172,large_number,822.0,1024.0,False,True,False,False,False,False,False,False,False,False,False
FB_055_B75D0172,large_number,698.0,1040.0,False,True,False,False,False,False,False,False,False,False,False
FB_055_B75D0172,large_number,1272.0,1024.0,False,True,True,True,False,True,False,False,False,False,False
FB_056_E46FAB20,dollar_amount,1519.0,1800.0,True,False,False,False,False,False,False,False,False,False,False
FB_056_E46FAB20,dollar_amount,738.0,600.0,False,False,True,True,False,True,False,False,False,False,True
FB_056_E46FAB20,dollar_amount,1307.0,1900.0,False,False,False,False,False,False,False,False,False,False,False
FB_057_2D006C3F,dollar_amount,606.8,467.5,False,True,True,True,False,True,False,False,False,False,False
FB_057_2D006C3F,dollar_amount,259.8,360.6,False,False,True,True,True,True,False,False,False,False,True
FB_057_2D006C3F,dollar_amount,788.1,1197.5,False,False,True,False,False,True,False,False,False,False,True
FB_058_4FC4F0E9,dollar_amount,5585.0,4711.0,False,True,True,True,True,True,False,False,False,False,False
FB_058_4FC4F0E9,percentage,91.9,101.6,False,True,True,True,True,True,False,False,False,False,False
FB_058_4FC4F0E9,dollar_amount,12544.0,9493.0,False,True,True,True,True,True,False,False,False,False,False
FB_060_D8048F85,dollar_amount,115274.0,83535.0,True,True,False,False,False,False,False,False,False,False,False
FB_060_D8048F85,dollar_amount,85028.0,139660.0,True,True,False,False,False,False,False,False,False,False,False
FB_061_B30537F0,dollar_amount,52278.0,62283.0,False,False,True,True,False,True,False,False,False,False,True
FB_061_B30537F0,dollar_amount,13434.0,21319.0,False,False,False,False,False,False,False,False,False,False,False
FB_061_B30537F0,percentage,14.4,23.0,True,True,True,True,True,True,False,False,False,False,False
FB_062_CCEDD88C,dollar_amount,191569.0,156898.0,False,True,True,True,False,True,False,False,False,False,False
FB_063_38B981AD,percentage,0.9,7.1,True,False,False,False,False,False,False,False,False,False,False
FB_063_38B981AD,dollar_amount,71042.0,58658.0,False,False,True,True,False,True,False,False,False,False,True
FB_064_7576A9AF,dollar_amount,12426.0,14800.0,False,True,True,True,True,True,False,False,False,False,False
FB_064_7576A9AF,dollar_amount,18525.0,15300.0,False,False,True,False,False,True,False,False,False,False,True
FB_064_7576A9AF,dollar_amount,19162.0,15100.0,False,True,True,False,False,True,False,False,False,False,False
FB_065_8F3B2425,dollar_amount,41886.0,58658.0,True,False,False,False,False,False,False,False,False,False,False
FB_065_8F3B2425,dollar_amount,18532.0,26210.0,False,True,True,False,False,True,False,False,False,False,False
FB_065_8F3B2425,dollar_amount,469.0,382.0,False,True,True,False,False,True,False,False,False,False,False
FB_067_92C7D508,percentage,9.5,20.0,False,True,True,False,False,True,False,False,False,False,False
FB_067_92C7D508,dollar_amount,1513.0,1200.0,False,True,True,False,False,True,False,False,False,False,False
FB_067_92C7D508,dollar_amount,3936.0,5500.0,False,False,True,False,False,True,False,False,False,False,True
FB_068_46FFC913,dollar_amount,58656.0,86180.5,False,True,True,True,False,True,False,False,False,False,False
FB_068_46FFC913,percentage,0.01,1.45,False,True,False,False,False,False,False,False,False,False,False
FB_069_15B93D82,percentage,51.5,44.2,False,True,True,True,False,True,False,False,False,False,False
FB_069_15B93D82,dollar_amount,25413.0,33014.0,False,True,True,False,False,True,False,False,False,False,False
FB_070_4418F850,dollar_amount,5694.0,7964.0,False,True,True,True,False,True,False,False,False,False,False
FB_070_4418F850,dollar_amount,14585.0,11952.0,False,False,True,True,False,True,False,False,False,False,True
FB_070_4418F850,dollar_amount,14512.0,11952.0,False,False,True,True,False,True,False,False,False,False,True
FB_071_0CB99E74,dollar_amount,4292.0,3167.0,False,False,True,True,False,True,False,False,False,False,True
FB_071_0CB99E74,dollar_amount,73.0,111.0,False,True,True,True,False,True,False,False,False,False,False
FB_071_0CB99E74,dollar_amount,7381.0,10248.0,False,True,True,True,False,True,False,False,False,False,False
FB_072_05A484DC,dollar_amount,8255.0,11500.0,False,False,True,True,False,True,False,False,False,False,True
FB_072_05A484DC,large_number,2118.0,3206.0,False,False,True,True,False,True,False,False,False,False,True
FB_073_5495DBB9,percentage,9.9,13.9,False,False,True,False,False,True,False,False,False,False,True
FB_073_5495DBB9,dollar_amount,221.0,264.0,False,True,True,False,False,True,False,False,False,False,False
FB_073_5495DBB9,dollar_amount,207.0,292.0,False,False,True,False,False,True,False,False,False,False,True
FB_074_499976A7,dollar_amount,6078.0,8108.0,False,False,True,True,False,True,False,False,False,False,True
FB_074_499976A7,dollar_amount,9948.0,7400.0,False,True,True,True,False,True,False,False,False,False,False
FB_075_D5F39BB5,dollar_amount,38256.0,59431.0,False,True,True,True,False,True,False,False,False,False,False
FB_075_D5F39BB5,dollar_amount,41694.0,53189.0,False,True,True,True,False,True,False,False,False,False,False
FB_076_1BF5949C,dollar_amount,124200.0,194579.0,False,True,True,True,False,True,False,False,False,False,False
FB_076_1BF5949C,dollar_amount,27991.0,21643.0,True,False,False,False,False,False,False,False,False,False,False
FB_076_1BF5949C,dollar_amount,29388.0,22389.0,False,False,False,False,False,False,False,False,False,False,False
FB_077_6547C156,dollar_amount,2148.0,3100.0,False,False,True,True,True,True,False,False,False,False,True
FB_077_6547C156,dollar_amount,3128.0,2500.0,False,True,False,False,False,False,False,False,False,False,False
FB_077_6547C156,dollar_amount,78204.0,128000.0,False,False,True,True,False,True,False,False,False,False,True
FB_078_F8A3C776,dollar_amount,2.0,3.0,True,True,False,False,False,False,False,False,False,False,False
FB_078_F8A3C776,dollar_amount,1.4,2.0,False,True,True,True,False,True,False,False,False,False,False
FB_079_C8770283,dollar_amount,0.68,0.5,False,True,True,True,True,True,False,False,False,False,False
FB_079_C8770283,dollar_amount,0.69,0.5,False,True,True,True,True,True,False,False,False,False,False
FB_079_C8770283,dollar_amount,1.25,1.98,False,True,True,True,True,True,False,False,False,False,False
FB_081_4E1CC3D9,large_number,63263625.0,48123456.0,False,False,True,True,False,True,False,False,False,False,True
FB_081_4E1CC3D9,large_number,12416701.0,9876543.0,False,True,True,True,False,True,False,False,False,False,False
FB_082_4FFC55E4,dollar_amount,1334.0,1059.0,False,True,True,True,False,True,False,False,False,False,False
FB_082_4FFC55E4,dollar_amount,37.0,30.0,False,True,True,True,False,True,False,False,False,False,False
FB_083_62A760DF,dollar_amount,3586.0,2972.0,True,False,False,False,False,False,False,False,False,False,False
FB_083_62A760DF,dollar_amount,3712.0,2731.0,True,False,False,False,False,False,False,False,False,False,False
FB_083_62A760DF,dollar_amount,2326.0,3556.0,False,True,True,False,False,True,False,False,False,False,False
FB_084_403F35B5,dollar_amount,952.0,1205.0,False,True,True,True,True,True,False,False,False,False,False
FB_084_403F35B5,dollar_amount,735.0,1205.0,False,True,True,True,True,True,False,False,False,False,False
FB_085_149EBAE9,dollar_amount,772.0,1174.0,False,True,True,True,False,True,False,False,False,False,False
FB_085_149EBAE9,dollar_amount,898.0,1174.0,False,True,True,True,False,True,False,False,False,False,False
FB_085_149EBAE9,dollar_amount,1353.0,1905.0,False,True,False,False,False,False,False,False,False,False,False
FB_086_889F46BB,dollar_amount,70366.0,93775.0,False,True,True,True,False,True,False,False,False,False,False
FB_086_889F46BB,dollar_amount,22612.0,16676.0,False,False,True,True,False,True,False,False,False,False,True
FB_086_889F46BB,dollar_amount,8873.0,14714.0,False,True,True,True,False,True,False,False,False,False,False
FB_087_99FD2FB2,percentage,70.3,81.1,False,True,True,True,False,True,False,False,False,False,False
FB_087_99FD2FB2,dollar_amount,20998.0,15157.0,False,False,True,False,False,True,False,False,False,False,True
FB_087_99FD2FB2,dollar_amount,84991.0,67427.0,False,False,False,False,False,False,False,False,False,False,False
FB_088_DD231ABD,dollar_amount,130473.0,94943.0,False,True,True,False,False,True,False,False,False,False,False
FB_088_DD231ABD,dollar_amount,19470.0,15120.0,False,False,True,False,False,True,False,False,False,False,True
FB_088_DD231ABD,dollar_amount,18618.0,14230.0,False,False,True,False,False,True,False,False,False,False,True
FB_089_CF6163C6,dollar_amount,3.05,2.35,True,False,False,False,False,False,False,False,False,False,False
FB_089_CF6163C6,percentage,31.6,22.8,False,True,True,True,False,True,False,False,False,False,False
FB_090_72CFB567,dollar_amount,62980.0,46211.0,False,True,True,True,True,True,False,False,False,False,False
