hallucination_id,question_id,injection_type,trajectory_either,trajectory_judge,stage1_detected,stage4_detected,category,category_judge
FB_085_149EBAE9_H1,FB_085_149EBAE9,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_086_889F46BB_H3,FB_086_889F46BB,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_086_889F46BB_H2,FB_086_889F46BB,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1,1,Always Detected,Late Detection
FB_086_889F46BB_H1,FB_086_889F46BB,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))","(np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Partial Decay
FB_087_99FD2FB2_H3,FB_087_99FD2FB2,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_087_99FD2FB2_H2,FB_087_99FD2FB2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))","(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Never Detected
FB_087_99FD2FB2_H1,FB_087_99FD2FB2,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_088_DD231ABD_H3,FB_088_DD231ABD,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_088_DD231ABD_H2,FB_088_DD231ABD,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(0), np.int64(1))",1,1,Always Detected,Late Detection
FB_088_DD231ABD_H1,FB_088_DD231ABD,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Partial Decay
FB_089_CF6163C6_H2,FB_089_CF6163C6,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
